dataset,shots,noise_type,noise_p,meas_seed,r2,mse
lorenz,2048,depolarizing,0.05,66,-0.010312745090018005,1.0677352869188184
lorenz,2048,depolarizing,0.05,77,-0.020017203078527945,1.077991311387588
lorenz,2048,depolarizing,0.08,11,-0.02472068406570016,1.0829621213132892
lorenz,2048,depolarizing,0.08,22,-0.021696973153821686,1.0797665535509855
lorenz,2048,depolarizing,0.08,33,-0.021386042088629376,1.0794379502826228
lorenz,2048,depolarizing,0.08,44,-0.02228739422356929,1.0803905320302964
lorenz,2048,depolarizing,0.08,55,-0.02813618821033681,1.0865717504262238
lorenz,2048,depolarizing,0.08,66,-0.022095977183341997,1.0801882355341261
lorenz,2048,depolarizing,0.08,77,-0.032504974136296605,1.0911888424274991
lorenz,2048,depolarizing,0.1,11,-0.026383757793135842,1.0847197181684811
lorenz,2048,depolarizing,0.1,22,-0.02331667238127877,1.08147831065566
lorenz,2048,depolarizing,0.1,33,-0.02271405234740942,1.0808414398669923
lorenz,2048,depolarizing,0.1,44,-0.024323571296522184,1.082542438082925
lorenz,2048,depolarizing,0.1,55,-0.02999078527627108,1.0885317561174692
lorenz,2048,depolarizing,0.1,66,-0.023796915832138277,1.0819858494165897
lorenz,2048,depolarizing,0.1,77,-0.03438134767317047,1.0931718622859514
lorenz,2048,bit_flip,0.0,11,0.7315417465348908,0.2837164548129635
lorenz,2048,bit_flip,0.0,22,0.7282611298395536,0.28718352995923857
lorenz,2048,bit_flip,0.0,33,0.7302809677987356,0.2850488916768278
lorenz,2048,bit_flip,0.0,44,0.7340046549863797,0.28111356350541006
lorenz,2048,bit_flip,0.0,55,0.7299288798228449,0.28542099106663094
lorenz,2048,bit_flip,0.0,66,0.7304963380793714,0.28482128052423566
lorenz,2048,bit_flip,0.0,77,0.7303057966734858,0.2850226516181587
lorenz,2048,bit_flip,0.0005,11,0.7034142478611829,0.3134426193225524
lorenz,2048,bit_flip,0.0005,22,0.6992031797223961,0.31789302942502173
lorenz,2048,bit_flip,0.0005,33,0.7012082747314481,0.31577397202898855
lorenz,2048,bit_flip,0.0005,44,0.703801578885959,0.3130332737957522
lorenz,2048,bit_flip,0.0005,55,0.702386995263147,0.31452825726271744
lorenz,2048,bit_flip,0.0005,66,0.7021308317124809,0.3147989802280544
lorenz,2048,bit_flip,0.0005,77,0.6999327798995589,0.31712196139852705
lorenz,2048,bit_flip,0.001,11,0.6742039046514794,0.3443131733560274
lorenz,2048,bit_flip,0.001,22,0.6711845159574014,0.34750417324122
lorenz,2048,bit_flip,0.001,33,0.6728737771439537,0.3457189005259445
lorenz,2048,bit_flip,0.001,44,0.6741448313367415,0.3443756041854587
lorenz,2048,bit_flip,0.001,55,0.6745920736162689,0.3439029422637179
lorenz,2048,bit_flip,0.001,66,0.6743572381152838,0.3441511249697578
lorenz,2048,bit_flip,0.001,77,0.671952353458421,0.3466926946189394
lorenz,2048,bit_flip,0.002,11,0.6186954544165072,0.40297652421059504
lorenz,2048,bit_flip,0.002,22,0.6149855207071879,0.406897317205458
lorenz,2048,bit_flip,0.002,33,0.6149639966720144,0.40692006458935814
