dataset,shots,noise_type,noise_p,n_runs,r2_mean,r2_std,r2_lo,r2_hi,r2_lo95,r2_hi95,mse_mean,mse_std,mse_lo,mse_hi
lorenz,2048,phase_flip,0.02,7,0.19164611293300934,0.0043421235471795055,0.18856752319458928,0.19665703821761518,0.1882437883727565,0.198734661088143,0.8542978139531568,0.00458891422880308,0.8490020857021876,0.857551379657076
lorenz,2048,phase_flip,0.03,7,0.08093823732088234,0.003628536312762441,0.07695504918710244,0.08493098349394898,0.0767570334917021,0.08539453660047305,0.9712979269432739,0.003834769263113215,0.9670782474416423,0.9755075051610504
lorenz,2048,phase_flip,0.05,7,-0.030668334237062642,0.00390303872263888,-0.034120435494092424,-0.027018458186446662,-0.03506324913090368,-0.02550407551089213,1.0892478145237086,0.004124873402444098,1.0853904926488118,1.0928961207972467
lorenz,2048,phase_flip,0.08,7,-0.10811214906020614,0.003385552428673243,-0.11135066688685508,-0.10567744079290078,-0.11215158402240256,-0.10363351075031224,1.171093257177121,0.00357797504918748,1.16852016885077,1.1745158407064624
lorenz,2048,phase_flip,0.1,7,-0.14034860093613205,0.0035039184019224545,-0.1430210499317728,-0.13827177037338434,-0.14486231213288372,-0.1354339729326149,1.2051619130069746,0.00370306851853435,1.2029670428664425,1.2079862543893871
lorenz,2048,amplitude_damp,0.0,7,0.7306885019621802,0.00175800705285207,0.7298621698235133,0.7316402628729504,0.7285112923370473,0.7336352187186563,0.2846181947376379,0.0018579258493023215,0.28361233916066136,0.28549149262233525
lorenz,2048,amplitude_damp,0.0005,7,0.7175132966036439,0.0016407322771957182,0.7167486878047532,0.7182542052238734,0.7153136545152636,0.7201646056519193,0.29854223137092595,0.0017339855972938892,0.2977592121701426,0.29935029778326383
lorenz,2048,amplitude_damp,0.001,7,0.7043513280120743,0.001549420538863549,0.7032538130695348,0.7054407143672622,0.7022555334234543,0.7066253018014343,0.312452278907032,0.0016374840282490923,0.3113009757504848,0.31361217265059327
lorenz,2048,amplitude_damp,0.002,7,0.6775096761234984,0.0018485969344863176,0.6761740239867635,0.6789653267186275,0.6746374589781116,0.6792501645677291,0.34081951372605823,0.001953664533911368,0.33928112918780806,0.34223107952523407
lorenz,2048,amplitude_damp,0.003,7,0.6506480390284216,0.001928755097433128,0.6492392361973193,0.6522510866127217,0.6474224462666798,0.652334054512254,0.3692078696388263,0.0020383785984709408,0.3675137105968015,0.37069674375467754
lorenz,2048,amplitude_damp,0.005,7,0.5970676225612604,0.002277988688940512,0.5954302594568408,0.5988445963804675,0.5936699921570151,0.5994703301017715,0.4258336042223258,0.0024074613709510204,0.42395563360390176,0.4275640291551836
lorenz,2048,amplitude_damp,0.008,7,0.5176607429719372,0.003456318807134662,0.5134784943242857,0.5207277188846579,0.5131532253263759,0.5211185508896738,0.5097536851810983,0.0036527635340184005,0.5065123933909504,0.5141736377962346
lorenz,2048,amplitude_damp,0.01,7,0.4669444992380152,0.002658651652196284,0.46362759304507134,0.46950761701977584,0.4634685702211774,0.46954541094686614,0.5633524577570685,0.002809759847602502,0.5606436615814139,0.5668578849654426
lorenz,2048,amplitude_damp,0.015,7,0.3467934284710055,0.0025430515864024008,0.34430046058484226,0.3489634545429619,0.3426099244866111,0.3489947384080515,0.6903324831427581,0.002687589489940375,0.688039120595545,0.692967142355114
lorenz,2048,amplitude_damp,0.02,7,0.23922346027151573,0.0033050563289097217,0.23690415852927646,0.24174852687752246,0.2337282030236321,0.24212538816439627,0.8040163413515317,0.003492903840698191,0.8013477590435717,0.8064674638611071
lorenz,2048,amplitude_damp,0.03,7,0.05423786972378027,0.005436881151959372,0.04986914078655947,0.05863022149509872,0.04665854527633872,0.060773935277918946,0.9995158473799695,0.005745893917445991,0.9948738501354635,1.0041328791534707
lorenz,2048,amplitude_damp,0.05,7,-0.2432604377486832,0.0054674921481374684,-0.24740325382568645,-0.23710517813344664,-0.25045348078347596,-0.2361762495312781,1.3139228883984129,0.005778244732523766,1.3074177859702052,1.318301167237444
lorenz,2048,amplitude_damp,0.08,7,-0.627904579551507,0.004105505671214723,-0.6304525792369782,-0.6255633818463173,-0.6330488702304018,-0.6211531203959736,1.7204288194632418,0.004338847844001726,1.7179545565029524,1.723121638284401
lorenz,2048,amplitude_damp,0.1,7,-0.8593196459069281,0.004213295204677761,-0.8618112699999545,-0.8565460547306384,-0.8666414922924365,-0.855821974358252,1.9649966856741419,0.004452763746773746,1.9620654535533917,1.9676299247169933
